   9   5   0      9.96  0.735E-01      4.29  1. -3.14    9.85    0.51 1.0000     0.
  10   5   0     13.48  0.412E-01      5.97  1.  0.00   10.72    0.63 1.0000     0.
  11   5   0      1.05  0.143          0.63  1. -0.00    0.16    3.33 1.0000     0.
   0   6   0     13.48  0.493E-01      6.00  1.  0.00   17.86    0.38 1.0000     0.
   1   6   0     23.12  0.185E-01      9.57  1.  0.00   20.16    0.57 1.0000     0.
   2   6   0     31.19  0.917E-02     13.99  1.  0.00   18.08    0.86 1.0000     0.
   3   6   0     20.40  0.234E-01      8.18  1. -3.14   17.15    0.59 1.0000     0.
   4   6   0      2.82  0.410          1.40  1. -3.14    3.49    0.40 1.0000     0.
   5   6   0      7.13  0.158          2.87  1. -3.14   11.01    0.32 1.0000     0.
   6   6   0      3.11  0.291          1.36  1.  3.14    2.92    0.53 1.0000     0.
   7   6   0     10.67  0.715E-01      4.47  1.  0.00   11.86    0.45 1.0000     0.
   8   6   0     11.86  0.636E-01      4.40  1.  0.00   12.38    0.48 1.0000     0.
   9   6   0      1.49  0.230          1.16  1. -0.00    0.52    1.45 1.0000     0.
  10   6   0      3.60  0.159          1.32  1.  0.00    2.08    0.87 1.0000     0.
  11   6   0      4.83  0.107          2.46  1.  0.00    2.60    0.93 1.0000     0.
   1   7   0     18.71  0.267E-01      8.13  1.  0.00   19.13    0.49 1.0000     0.
   2   7   0     12.80  0.590E-01      4.90  1. -3.14   15.25    0.42 1.0000     0.
   3   7   0     17.98  0.275E-01      8.22  1. -3.14   19.20    0.47 1.0000     0.
   4   7   0     20.03  0.218E-01      9.36  1. -3.14   19.83    0.50 1.0000     0.
   5   7   0     47.21  0.396E-02     22.08  1. -3.14   21.09    1.12 1.0000     0.
   6   7   0     11.01  0.570E-01      5.61  1.  0.00   11.53    0.48 1.0000     0.
   7   7   0      7.90  0.118          3.05  1.  0.00    9.13    0.43 1.0000     0.
   8   7   0      6.88  0.132          2.52  1.  0.00    7.11    0.48 1.0000     0.
   9   7   0      9.40  0.721E-01      4.05  1.  0.00    7.88    0.60 1.0000     0.
  10   7   0     -1.77  0.181          0.79  1.  0.00   -0.57    1.56 1.0000     0.
  11   7   0     -2.41  0.169          0.78  1. -3.13   -0.99    1.22 1.0000     0.
   0   8   0     17.20  0.242E-01      6.82  1.  0.00    8.92    0.96 1.0000   297.
   1   8   0      3.74  0.339          1.86  1. -3.14    5.61    0.33 1.0000     0.
   2   8   0     28.45  0.113E-01     12.81  1.  0.00   20.29    0.70 1.0000     0.
   3   8   0     12.46  0.490E-01      6.34  1. -3.14   16.11    0.39 1.0000     0.
   4   8   0     18.22  0.284E-01      7.45  1. -3.14   16.24    0.56 1.0000     0.
   5   8   0      1.29  0.363          0.80  1.  3.14    0.61    1.06 1.0000     0.
   6   8   0      2.60  0.241          1.48  1.  3.14    1.67    0.78 1.0000     0.
   7   8   0      6.28  0.128          2.65  1.  0.00    5.68    0.55 1.0000     0.
   8   8   0     19.67  0.230E-01      8.39  1.  0.00   15.24    0.65 1.0000     0.
   9   8   0      4.64  0.142          1.57  1.  0.00    3.14    0.74 1.0000     0.
  10   8   0     -1.24  0.209          0.09  1. -0.02   -0.32    1.94 1.0000     0.
   1   9   0     19.96  0.215E-01      9.14  1. -3.14   16.70    0.60 1.0000     0.
   2   9   0     23.94  0.141E-01     11.62  1. -3.14   16.78    0.71 1.0000     0.
   3   9   0     10.65  0.768E-01      4.68  1.  0.00   15.54    0.34 1.0000     0.
   4   9   0      7.19  0.152          2.66  1. -3.14    9.91    0.36 1.0000     0.
   5   9   0      8.51  0.110          3.56  1. -3.14   11.27    0.38 1.0000     0.
   6   9   0      8.99  0.898E-01      3.89  1.  0.00    9.82    0.46 1.0000     0.
   7   9   0      2.86  0.225          0.80  1.  0.01    1.86    0.77 1.0000     0.
   8   9   0     11.21  0.657E-01      4.34  1.  0.00   11.11    0.50 1.0000     0.
   9   9   0      9.76  0.624E-01      4.74  1. -3.14    7.77    0.63 1.0000     0.
  10   9   0      2.67  0.162          0.47  1. -3.13    1.15    1.16 1.0000     0.
   0  10   0     17.92  0.287E-01      7.50  1. -3.14   16.22    0.55 1.0000     0.
   1  10   0     25.73  0.136E-01     11.23  1. -3.14   16.95    0.76 1.0000     0.
   2  10   0     11.73  0.543E-01      5.53  1.  0.00   11.93    0.49 1.0000     0.
   3  10   0     19.09  0.234E-01      8.60  1. -3.14   15.64    0.61 1.0000     0.
   4  10   0     10.11  0.715E-01      4.87  1.  0.00   11.79    0.43 1.0000     0.
   5  10   0      5.45  0.144          2.43  1.  0.00    4.69    0.58 1.0000     0.
   6  10   0      4.05  0.168          1.74  1.  0.00    2.84    0.71 1.0000     0.
   7  10   0     12.33  0.476E-01      5.74  1.  0.00   10.75    0.57 1.0000     0.
   8  10   0     -1.57  0.191          0.50  1.  0.00   -0.47    1.67 1.0000     0.
   9  10   0      5.31  0.124          2.31  1.  0.00    3.71    0.72 1.0000     0.
   1  11   0      6.86  0.110          3.61  1. -3.14    6.65    0.52 1.0000     0.
   2  11   0      9.75  0.763E-01      3.87  1. -3.14    9.13    0.53 1.0000     0.
   3  11   0      1.63  0.251          0.72  1.  0.01    0.67    1.22 1.0000     0.
   4  11   0      2.29  0.216          1.26  1.  0.01    1.15    1.00 1.0000     0.
   5  11   0      8.47  0.899E-01      3.43  1. -3.14    7.73    0.55 1.0000     0.
   6  11   0      6.20  0.119          2.47  1. -3.14    4.94    0.63 1.0000     0.
   7  11   0      0.85  0.191          0.33  1. -3.13    0.14    3.06 1.0000     0.
   8  11   0      4.96  0.126          2.37  1.  0.00    3.28    0.76 1.0000     0.
   9  11   0      4.30  0.137          1.54  1. -3.14    2.58    0.83 1.0000     0.
   0  12   0      5.39  0.118          2.65  1. -3.14    3.69    0.73 1.0000     0.
   1  12   0      1.19  0.255          0.35  1.  3.14    0.36    1.65 1.0000     0.
   2  12   0      5.26  0.149          1.94  1.  0.00    4.34    0.61 1.0000     0.
   3  12   0     11.51  0.576E-01      4.76  1.  0.00   10.28    0.56 1.0000     0.
   4  12   0      7.23  0.994E-01      3.40  1.  0.00    6.18    0.59 1.0000     0.
   5  12   0      8.79  0.673E-01      3.58  1. -3.14    5.82    0.75 1.0000     0.
   6  12   0      4.22  0.118          2.07  1.  0.00    2.15    0.98 1.0000     0.
   7  12   0      8.56  0.664E-01      3.87  1. -3.14    5.54    0.77 1.0000     0.
   8  12   0     -0.22  0.151          0.30  1.  0.00   -0.01   14.76 1.0000     0.
   1  13   0      5.45  0.144          2.82  1. -3.14    4.97    0.55 1.0000     0.
   2  13   0      5.78  0.130          2.28  1.  3.14    4.63    0.62 1.0000     0.
   3  13   0      1.94  0.233          0.73  1. -3.14    0.88    1.11 1.0000     0.
   4  13   0     -1.15  0.158          0.33  1.  0.02   -0.21    2.75 1.0000     0.
   5  13   0      3.06  0.148          0.70  1. -0.00    1.39    1.10 1.0000     0.
   6  13   0      6.52  0.566E-01      3.34  1. -3.14    2.51    1.30 1.0000   474.
   7  13   0     -1.11  0.991E-01      0.91  1. -3.14   -0.12    4.55 1.0000   475.
   0  14   0     13.58  0.283E-01      5.56  1.  0.00    5.84    1.16 1.0000   476.
   1  14   0     12.76  0.419E-01      4.50  1. -3.14    7.86    0.81 1.0000     0.
   2  14   0     -1.49  0.168          0.22  1.  0.01   -0.38    1.99 1.0000     0.
   3  14   0      5.36  0.682E-01      2.32  1.  3.14    2.00    1.34 1.0000   481.
   4  14   0      4.75  0.752E-01      1.79  1. -3.14    1.72    1.39 1.0000   482.
   5  14   0      1.93  0.945E-01      0.25  1. -3.14    0.35    2.74 1.0000   483.
   6  14   0      3.87  0.736E-01      0.63  1.  0.00    1.10    1.76 1.0000   484.
   1  15   0      2.72  0.123          1.17  1.  0.00    0.91    1.50 1.0000     0.
   2  15   0      7.73  0.731E-01      2.82  1. -3.14    4.63    0.84 1.0000     0.
   3  15   0      8.66  0.442E-01      4.19  1. -3.14    3.54    1.22 1.0000   490.
   4  15   0     -2.99  0.124          0.01  1.  0.31   -1.10    1.35 1.0000   491.
   0  16   0     -1.42  0.926E-01      0.47  1.  3.13   -0.19    3.79 1.0000   492.
